0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Concepto® Estado y Centro,Capacidad,Sobre: población Absoluta,Sobre- población Relativa,FUERO COMUN,,,,,FUERO FEDERAL,,,,,,TOTAL
,,,,Procesados,,Sentenciados,,Subtotal,Procesados,,Sentenciados,,Subtotal,% *,
,,,,H,M,H,M,,H,M,H,M,,,
,,,,,,,,,,,,,,,
Cárcel Distrital Jeréz de Garcia Salinas,50,-21,-42.00%,13,,16,,29,,,,,,,29
Cárcel Distrital Río Grande,45,-22,-48.89%,14,,9,,23,,,,,,,23
Cárcel Distrital Ojo Caliente,40,.20,-50.00%,12,,8,,20,,,,,,,20
Cárcel Distrital Calera de Victor Rosales,20,-2,-10.00%,16,,2,,18,,,,,,,18
Cárcel Distrital Valparaíso ***,28,-14,-50.00%,6,1,7,,14,,,,,,,14
Cárcel Distrital Jalpa,24,-11,45.83%,6,,7,,13,,,,,,,13
Cárcel Distrital Tlaltenango de Sánchez Román,24,-11,45.83%,7,,6.,,13,,,,,,,13
Cárcel Distrital Loreto,12,1,8.33%,9,,4,,13,,,,,,,13
Cárcel Distrital Teúl de González Ortega,14,5,35.71%,8,,1,,9,,,,,,,9
Cárcel Distrital Villanueva,13,-5,-38.46%,3,,5,,8,,,,,,,8
Cárcel Distrital Pinos,20,-12,-60.00%,3,,5,,8,,,,,,,8
Cárcel Distrital Juchiplla,16,-8,-50.00%,4,,4,,8,,,,,,,8
Cárcel Distrital Concepción del Oro,42,-35,-83.33%,4,,3,,7,,,,,,,7
Cárcel Distrital Nochistlán de Mejía ***,26,-23,-88.46%,3,,,,3,,,,,,,3
Colonia Penal Federal Islas Marias,"3,000","-1,305",-43.50%,,,469,16,485,,,"1,169",41,"1,210",71.39%,"1,695"
Cefereso 1 Almoloya de Juárez,724,-287,-39.64%,11,,267,1,279,32,8,117,1,158,36.16%,437
Cefereso 2 Puente Grande,724,-299,-41.30%,13,,219,1,233,4,1,186,1,192,45.18%,425
Ceferepsi,500,-325,-65.00%,28,,136,,164,1,,10,,11,6.29%,175
TOTAL,"108,828","36,311",33.37%,"49,327","1,675","54,969","1,586","107,557","9,967",867,"24,697","2,051","37,582",25.89%,"145,139"
,,,,,,,,,,,,,,,
